Date,Close/Last
1/22/2025,447.65
1/21/2025,447.1
1/17/2025,447.1
1/16/2025,447.1
1/15/2025,447.1
1/14/2025,441.28
1/13/2025,441.28
1/10/2025,441.28
1/8/2025,441.28
1/7/2025,428.45
1/6/2025,428.45
1/3/2025,428.45
1/2/2025,420.58
12/31/2024,420.58
12/30/2024,420.58
12/27/2024,420.58
12/26/2024,420.58
12/24/2024,420.4
12/23/2024,420.4
12/20/2024,420.4
12/19/2024,420.4
12/18/2024,420.4
12/17/2024,420.24
12/16/2024,420.24
12/13/2024,420.24
12/12/2024,420.24
12/11/2024,420.24
12/10/2024,417.46
12/9/2024,417.46
12/6/2024,417.46
12/5/2024,417.46
12/4/2024,417.46
12/3/2024,410.17
12/2/2024,410.17
11/29/2024,410.17
11/27/2024,410.17
11/26/2024,405.51
11/25/2024,405.51
11/22/2024,405.51
11/21/2024,405.51
11/20/2024,405.51
11/19/2024,403.28
11/18/2024,403.28
11/15/2024,403.28
11/14/2024,403.28
11/13/2024,403.28
11/12/2024,397.57
11/11/2024,397.57
11/8/2024,397.57
11/7/2024,397.57
11/6/2024,397.57
11/5/2024,394.37
11/4/2024,394.37
11/1/2024,394.37
10/31/2024,394.37
10/30/2024,394.37
10/29/2024,393.91
10/28/2024,393.91
10/25/2024,393.91
10/24/2024,393.91
10/23/2024,393.91
10/22/2024,399.84
10/21/2024,399.84
10/18/2024,399.84
10/17/2024,399.84
10/16/2024,399.84
10/15/2024,420.65
10/14/2024,420.65
10/11/2024,420.65
10/10/2024,420.65
10/9/2024,420.65
10/8/2024,431.37
10/7/2024,431.37
10/4/2024,431.37
10/3/2024,431.37
10/2/2024,431.37
10/1/2024,431.69
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
